Date/Time           	Type    	Tweet                                                                                                                   	Tweet Id            
2019-01-01 19:02:36 	tweet   	Border Security and the Wall “thing” and Shutdown is not where Nancy Pelosi wanted to start her tenure as Speaker! Let’s make a deal?	1080177487517233157 
2019-01-01 22:44:03 	tweet   	Gas prices are low and expected to go down this year. This would be good!                                               	1080233215615557632 
2019-01-01 22:51:12 	tweet   	Washington Examiner - “MAGA list: 205 ‘historic results’ help Trump make case for 2020 re-election.”  True!             	1080235018310635521 
2019-01-01 23:11:12 	tweet   	“Kim Jong Un says North Korea will not make or test nuclear weapons or give them to others - &amp; he is ready to meet President Trump anytime.” PBS News Hour. I also look forward to meeting with Chairman Kim who realizes so well that North Korea possesses great economic potential!	1080240049780940800 
2019-01-01 23:39:32 	tweet   	Do you think it’s just luck that gas prices are so low and falling? Low gas prices are like another Tax Cut!            	1080247182186430465 
2019-01-02 00:43:50 	tweet   	For FAR TOO LONG Senate Democrats have been Obstructing more than 350 Nominations. These great Americans left their jobs to serve our Country but can’t because Dems are blocking them some for two years-historic record. Passed committees but Schumer putting them on hold. Bad!	1080263362183917568 
2019-01-02 12:53:55 	tweet   	Here we go with Mitt Romney but so fast! Question will be is he a Flake?  I hope not. Would much prefer that Mitt focus on Border Security and so many other things where he can be helpful. I won big and he didn’t. He should be happy for all Republicans. Be a TEAM player &amp; WIN!	1080447092882112512 
2019-01-02 13:35:30 	tweet   	Mexico is paying for the Wall through the new USMCA Trade Deal. Much of the Wall has already been fully renovated or built. We have done a lot of work. $5.6 Billion Dollars that House has approved is very little in comparison to the benefits of National Security. Quick payback!	1080457560291987457 
2019-01-03 00:07:37 	tweet   	Important meeting today on Border Security with Republican and Democrat Leaders in Congress. Both parties must work together to pass a Funding Bill that protects this Nation and its people – this is the first and most important duty of government...	1080616636363743234 
2019-01-03 00:07:38 	tweet   	...I remain ready and willing to work with Democrats to pass a bill that secures our borders supports the agents and officers on the ground and keeps America Safe. Let’s get it done!	1080616637932421121 
2019-01-03 04:09:52 	tweet   	Sadly there can be no REAL Border Security without the Wall!                                                            	1080677601046347777 
2019-01-03 14:36:57 	tweet   	“MAGA list: 205 ‘historic results’ help Trump make case for 2020 re-election” https://t.co/vtqnUwdhjB                   	1080835412271222785 
2019-01-03 14:44:19 	tweet   	The Shutdown is only because of the 2020 Presidential Election. The Democrats know they can’t win based on all of the achievements of “Trump” so they are going all out on the desperately needed Wall and Border Security - and Presidential Harassment. For them strictly politics!	1080837263913832449 
2019-01-03 14:52:13 	tweet   	The United States Treasury has taken in MANY billions of dollars from the Tariffs we are charging China and other countries that have not treated us fairly. In the meantime we are doing well in various Trade Negotiations currently going on. At some point this had to be done!	1080839254656405504 
2019-01-03 16:10:31 	tweet   	https://t.co/JzfXMAPwKP                                                                                                 	1080858959404240896 
2019-01-03 17:40:49 	tweet   	The RNC has a great Chairwoman in Ronna McDaniel and the @GOP has never been stronger. We achieved historic wins with her help last year! #MAGA🇺🇸	1080881680779542533 
2019-01-03 20:25:18 	tweet   	https://t.co/jsOrDtwdEa                                                                                                 	1080923073820282880 
2019-01-04 01:19:17 	tweet   	Michael Pillsbury interviewed by @cvpayne: “They have the motive of making the President look bad – instead of President Trump being portrayed as a HERO. The first President to take China on it’s 20 years overdue....	1080997060168552448 
2019-01-04 01:19:18 	tweet   	....President Trump deserves a lot of credit but again you have the anti-Trump people who are not going to give him a lot of credit.”	1080997061821120512 
2019-01-04 13:06:40 	tweet   	As I have stated many times if the Democrats take over the House or Senate there will be disruption to the Financial Markets. We won the Senate they won the House. Things will settle down. They only want to impeach me because they know they can’t win in 2020 too much success!	1081175076727345152 
2019-01-04 13:16:20 	tweet   	How do you impeach a president who has won perhaps the greatest election of all time done nothing wrong (no Collusion with Russia it was the Dems that Colluded) had the most successful first two years of any president and is the most popular Republican in party history 93%?	1081177511592108032 
2019-01-04 14:39:07 	tweet   	GREAT JOBS NUMBERS JUST ANNOUNCED!                                                                                      	1081198344645554176 
2019-01-04 20:36:38 	tweet   	“Job growth surges by 312000 in December” https://t.co/FCSwxFZjUF                                                       	1081288316236967937 
2019-01-04 21:45:27 	tweet   	The story in the New York Times regarding Jim Webb being considered as the next Secretary of Defense is FAKE NEWS. I’m sure he is a fine man but I don’t know Jim and never met him. Patrick Shanahan who is Acting Secretary of Defense is doing a great job!	1081305634115674112 
2019-01-05 01:10:43 	tweet   	Great new book by Dr. Robert Jeffress “Choosing the Extraordinary Life.” Get it and enjoy!  @LouDobbs                   	1081357291914477568 
2019-01-05 12:17:35 	tweet   	Thank you to Kanye West for your nice words. Criminal Justice Reform is now law - passed in a very bipartisan way!      	1081525114594832384 
2019-01-05 12:31:03 	tweet   	Great support coming from all sides for Border Security (including Wall) on our very dangerous Southern Border. Teams negotiating this weekend! Washington Post and NBC reporting of events including Fake sources has been very inaccurate (to put it mildly)!	1081528502602612736 
2019-01-05 12:57:17 	tweet   	The Democrats could solve the Shutdown problem in a very short period of time. All they have to do is approve REAL Border Security (including a Wall) something which everyone other than drug dealers human traffickers and criminals want very badly! This would be so easy to do!	1081535102461579264 
2019-01-05 13:55:41 	tweet   	Many people currently a part of my opposition including President Obama &amp; the Dems have had campaign violations in some cases for very large sums of money. These are civil cases. They paid a fine &amp; settled. While no big deal I did not commit a campaign violation!	1081549802595340288 
2019-01-05 14:48:55 	tweet   	I don’t care that most of the workers not getting paid are Democrats I want to stop the Shutdown as soon as we are in agreement on Strong Border Security! I am in the White House ready to go where are the Dems?	1081563196249513985 
2019-01-05 15:16:14 	tweet   	We are working hard at the Border but we need a WALL!  In 2018 1.7 million pounds of narcotics seized 17000 adults arrested with criminal records and 6000 gang members including MS-13 apprehended. A big Human Trafficking problem.	1081570073867927557 
2019-01-05 15:54:42 	tweet   	The Democrats want Billions of Dollars for Foreign Aid but they don’t want to spend a small fraction of that number on properly securing our Border. Figure that one out!	1081579754191552514 
2019-01-05 16:13:07 	tweet   	Great Tweet today by Tyler Q. Houlton @SpoxDHS on the #FakeNews being put out by @CNN a proud member of the Opposition Party. @TSA is doing a great job!	1081584385512607745 
2019-01-05 17:27:18 	tweet   	“Former @NYTimes editor Jill Abramson rips paper's ‘unmistakably anti-Trump’ bias.”Ms. Abramson is 100% correct. Horrible and totally dishonest reporting on almost everything they write. Hence the term Fake News Enemy of the People and Opposition Party!	1081603056846991361 
2019-01-05 20:49:27 	tweet   	Drug makers and companies are not living up to their commitments on pricing. Not being fair to the consumer or to our Country!	1081653927337213952 
2019-01-05 21:05:59 	tweet   	V.P. Mike Pence and team just left the White House. Briefed me on their meeting with the Schumer/Pelosi representatives. Not much headway made today. Second meeting set for tomorrow. After so many decades must finally and permanently fix the problems on the Southern Border!	1081658090792148993 
2019-01-06 01:00:30 	tweet   	“Jobs up big plus 312000. Record number working. Manufacturing best in 20 years (Previous administration said this could not happen). Hispanic unemployment lowest ever. Dow plus 747 (for day).” @DRUDGE_REPORT	1081717108176752640 
2019-01-06 01:35:32 	tweet   	“The number of employed Americans has now set a 14th record under President Trump. Over the year average hourly earnings have increased by 84 cents or 3.2%. Participation Rate hits Trump-Era High.” CNS NEWS.  And we will do even better with new trade deals and all else!	1081725924457041921 
2019-01-06 01:47:56 	tweet   	AP-NORC POLL: “Immigration among the top concerns in 2019.” People want to stop drugs and criminals at the Border. Want Border Security! Tell the Dems to do the inevitable now rather than later. The wait is costly and dangerous!	1081729046277509121 
2019-01-06 02:06:29 	tweet   	Will be going to Camp David tomorrow morning for meetings on Border Security and many other topics with @WhiteHouse senior staff.	1081733714437201922 
2019-01-06 02:15:10 	tweet   	https://t.co/iSFAokoIP7                                                                                                 	1081735898679701505 
2019-01-06 12:01:42 	tweet   	“We simply cannot allow people to pour into the United States undetected undocumented unchecked...” Barrack Obama 2005. I voted when I was a Senator to build a barrier to try to prevent illegal immigrants from coming in...” Hillary Clinton 2015.	1081883505049636864 
2019-01-06 12:33:39 	tweet   	....The only reason they do not want to build a Wall is that Walls Work! 99% of our illegal Border crossings will end crime in our Country will go way down and we will save billions of dollars a year! A properly planned and constructed Wall will pay for itself many times a year!	1081891545245278208 
2019-01-06 12:41:04 	retweet 	RT @realDonaldTrump: As I have stated many times if the Democrats take over the House or Senate there will be disruption to the Financial…	1081893412687761408 
2019-01-06 12:41:23 	retweet 	RT @realDonaldTrump: How do you impeach a president who has won perhaps the greatest election of all time done nothing wrong (no Collusion…	1081893492291497984 
2019-01-06 14:59:33 	tweet   	Excited to see our friends in Egypt opening the biggest Cathedral in the Middle East. President El-Sisi is moving his country to a more inclusive future!	1081928260093652999 
2019-01-06 15:27:49 	tweet   	Our GREAT MILITARY has delivered justice for the heroes lost and wounded in the cowardly attack on the USS Cole. We have just killed the leader of that attack Jamal al-Badawi. Our work against al Qaeda continues. We will never stop in our fight against Radical Islamic Terrorism!	1081935373914259458 
2019-01-06 21:53:57 	tweet   	V.P. Mike Pence and group had a productive meeting with the Schumer/Pelosi representatives today. Many details of Border Security were discussed. We are now planning a Steel Barrier rather than concrete. It is both stronger &amp; less obtrusive. Good solution and made in the U.S.A.	1082032550112047104 
2019-01-07 12:56:19 	tweet   	With all of the success that our Country is having including the just released jobs numbers which are off the charts the Fake News &amp; totally dishonest Media concerning me and my presidency has never been worse. Many have become crazed lunatics who have given up on the TRUTH!...	1082259636227620865 
2019-01-07 13:09:03 	tweet   	...The Fake News will knowingly lie and demean in order make the tremendous success of the Trump Administration and me look as bad as possible. They use non-existent sources &amp; write stories that are total fiction. Our Country is doing so well yet this is a sad day in America!	1082262839501508609 
2019-01-07 13:31:00 	tweet   	....The Fake News Media in our Country is the real Opposition Party. It is truly the Enemy of the People! We must bring honesty back to journalism and reporting!	1082268365081767936 
2019-01-07 13:38:34 	tweet   	Congressman Adam Smith the new Chairman of the House Armed Services Committee just stated “Yes there is a provision in law that says a president can declare an emergency. It’s been done a number of times.” No doubt but let’s get our deal done in Congress!	1082270271426433025 
2019-01-07 14:55:05 	tweet   	The Failing New York Times has knowingly written a very inaccurate story on my intentions on Syria. No different from my original statements we will be leaving at a proper pace while at the same time continuing to fight ISIS and doing all else that is prudent and necessary!.....	1082289526339448832 
2019-01-07 18:44:41 	tweet   	I am pleased to inform you that I will Address the Nation on the Humanitarian and National Security crisis on our Southern Border. Tuesday night at 9:00 P.M. Eastern.	1082347305699889157 
2019-01-08 03:50:29 	tweet   	Endless Wars especially those which are fought out of judgement mistakes that were made many years ago &amp; those where we are getting little financial or military help from the rich countries that so greatly benefit from what we are doing will eventually come to a glorious end!	1082484663216730113 
2019-01-08 13:01:15 	tweet   	Economic numbers looking REALLY good. Can you imagine if I had long term ZERO interest rates to play with like the past administration rather than the rapidly raised normalized rates we have today. That would have been SO EASY! Still markets up BIG since 2016 Election!	1082623264877432837 
2019-01-08 13:13:06 	tweet   	“The President is the biggest and best supporter of the Steel Industry in many years. We are now doing really well. The Tariffs let us compete. Was unfair that the Steel Industry lost its jobs to unfair trade laws. Very positive outcome.” Mark Glyptis United Steelworkers	1082626249984491520 
2019-01-08 13:16:09 	tweet   	Talks with China are going very well!                                                                                   	1082627015235256321 
2019-01-08 14:42:39 	tweet   	Congratulations to a truly great football team the Clemson Tigers on an incredible win last night against a powerful Alabama team. A big win also for the Great State of South Carolina. Look forward to seeing the team and their brilliant coach for the second time at the W.H.	1082648785312976896 
2019-01-09 02:16:29 	tweet   	https://t.co/Ft6FqQmYfI                                                                                                 	1082823394234716160 
2019-01-09 04:33:59 	tweet   	Thank you for soooo many nice comments regarding my Oval Office speech. A very interesting experience!                  	1082857997032919040 
2019-01-09 14:06:09 	tweet   	Our Country is doing so well in so many ways. Great jobs numbers with a record setting December. We are rebuilding our military. Vets finally have Choice &amp; Accountability. Economy &amp; GDP are strong. Tax &amp; Reg cuts historic. Trade deals great. But we MUST fix our Southern Border!	1083001986331672580 
2019-01-09 14:36:05 	tweet   	Billions of dollars are sent to the State of California for Forrest fires that with proper Forrest Management would never happen. Unless they get their act together which is unlikely I have ordered FEMA to send no more money. It is a disgraceful situation in lives &amp; money!	1083009519503003648 
2019-01-09 15:25:43 	tweet   	Billions of dollars are sent to the State of California for Forest fires that with proper Forest Management would never happen. Unless they get their act together which is unlikely I have ordered FEMA to send no more money. It is a disgraceful situation in lives &amp; money!	1083022011574747137 
2019-01-09 19:31:29 	tweet   	Thank you to all of America's brave police deputies sheriffs and federal law enforcement on National Law Enforcement Appreciation Day! We love you and will always support you. https://t.co/kGL6kPmpDY	1083083858357248000 
2019-01-09 20:34:46 	tweet   	Just left a meeting with Chuck and Nancy a total waste of time. I asked what is going to happen in 30 days if I quickly open things up are you going to approve Border Security which includes a Wall or Steel Barrier? Nancy said NO. I said bye-bye nothing else works!	1083099784012091396 
2019-01-10 03:43:13 	tweet   	The Mainstream Media has NEVER been more dishonest than it is now. NBC and MSNBC are going Crazy. They report stories purposely the exact opposite of the facts. They are truly the Opposition Party working with the Dems. May even be worse than Fake News CNN if that is possible!	1083207607412760576 
2019-01-10 03:53:03 	tweet   	Gave an OFF THE RECORD luncheon somewhat of a White House tradition or custom to network anchors yesterday - and they quickly leaked the contents of the meeting. Who would believe how bad it has gotten with the mainstream media which has gone totally bonkers!	1083210083771785216 
2019-01-10 03:55:30 	retweet 	RT @charliekirk11: This is why we need a wallIllegal immigration is a serious threat to our country90% of all heroin comes across the b…	1083210698921074688 
2019-01-10 03:55:59 	retweet 	RT @charliekirk11: President Trump is winning this shutdown fightDemocrats have no message and are refusing to open government because t…	1083210819691786240 
2019-01-10 03:56:26 	retweet 	RT @charliekirk11: Did you know:At our Southern Border in 2018:1.7 MILLION pounds of narcotics were seized17000 criminals were arre…	1083210934984867841 
2019-01-10 03:59:15 	retweet 	RT @charliekirk11: Governor Ron DeSantis suspends the horrible Sheriff Scott Israel who is largely responsible for the errors leading up to…	1083211644275171328 
2019-01-10 03:59:42 	retweet 	RT @parscale: Just received my newest voter score tracking from my team. @realDonaldTrump has reached his highest national approval rating…	1083211756669976577 
2019-01-10 04:11:41 	retweet 	RT @dbongino: New Poll: Vast Majority of Voters Believe There is "Crisis" or "Problem" at U.S. Border https://t.co/bzFimBid26	1083214771648937984 
2019-01-10 13:24:30 	tweet   	Cryin Chuck told his favorite lie when he used his standard sound bite that I “slammed the table &amp; walked out of the room. He had a temper tantrum.” Because I knew he would say that and after Nancy said no to proper Border Security I politely said bye-bye and left no slamming!	1083353895030702080 
2019-01-10 13:34:10 	tweet   	There is GREAT unity with the Republicans in the House and Senate despite the Fake News Media working in overdrive to make the story look otherwise. The Opposition Party &amp; the Dems know we must have Strong Border Security but don’t want to give “Trump” another one of many wins!	1083356326833602561 
2019-01-10 13:41:25 	tweet   	“Great support for Border Security and the Wall.” @foxandfriends  Even greater than anyone would know! “Presidents supporters do not want him to cave.” @SteveDoocy I won’t!	1083358150214979585 
2019-01-10 13:43:15 	tweet   	Getting ready to leave for the Great State of Texas! #MAGA                                                              	1083358611315789826 
2019-01-10 13:43:54 	tweet   	MAKE AMERICA GREAT AGAIN!                                                                                               	1083358775925460992 
2019-01-10 16:47:11 	tweet   	President Obama thank you for your great support – I have been saying this all along! https://t.co/L506g9Aq4z           	1083404900862545920 
2019-01-10 18:14:31 	tweet   	Because of the Democrats intransigence on Border Security and the great importance of Safety for our Nation I am respectfully cancelling my very important trip to Davos Switzerland for the World Economic Forum. My warmest regards and apologies to the @WEF!	1083426878336036865 
2019-01-10 18:17:01 	retweet 	RT @SenateGOP: Why do we need border security? This is why. These are the facts. #SecureOurBorder https://t.co/dMpYb3p4Wy	1083427505736839168 
2019-01-10 22:41:01 	tweet   	From the Southern Border.... https://t.co/Vgsf5nEZUH                                                                    	1083493944527249408 
2019-01-11 01:10:49 	tweet   	Dear Diary... https://t.co/NAuMaQW6fl                                                                                   	1083531644785455104 
2019-01-11 01:45:54 	tweet   	Will be interviewed at the Border by @seanhannity on @FoxNews tonight at 9:00. Enjoy!                                   	1083540470570143750 
2019-01-11 02:42:46 	tweet   	We lose 300 Americans a week 90% of which comes through the Southern Border. These numbers will be DRASTICALLY REDUCED if we have a Wall!	1083554782923632640 
2019-01-11 02:43:00 	tweet   	When I took the Oath of Office.... https://t.co/GDhIqteKpv                                                              	1083554843627868160 
2019-01-11 12:05:00 	tweet   	I often said during rallies with little variation that “Mexico will pay for the Wall.” We have just signed a great new Trade Deal with Mexico. It is Billions of Dollars a year better than the very bad NAFTA deal which it replaces. The difference pays for Wall many times over!	1083696274182995969 
2019-01-11 12:40:30 	tweet   	H1-B holders in the United States can rest assured that changes are soon coming which will bring both simplicity and certainty to your stay including a potential path to citizenship. We want to encourage talented and highly skilled people to pursue career options in the U.S.	1083705208834834433 
2019-01-11 16:04:25 	tweet   	Humanitarian Crisis at our Southern Border. I just got back and it is a far worse situation than almost anyone would understand an invasion! I have been there numerous times - The Democrats Cryin’ Chuck and Nancy don’t know how bad and dangerous it is for our ENTIRE COUNTRY....	1083756525196320773 
2019-01-11 16:16:14 	tweet   	...The Steel Barrier or Wall should have been built by previous administrations long ago. They never got it done - I will. Without it our Country cannot be safe. Criminals Gangs Human Traffickers Drugs &amp; so much other big trouble can easily pour in. It can be stopped cold!	1083759500618805254 
2019-01-11 17:50:04 	tweet   	The Fake News Media keeps saying we haven’t built any NEW WALL. Below is a section just completed on the Border. Anti-climbing feature included. Very high strong and beautiful! Also many miles already renovated and in service! https://t.co/UAAGXl5Byr	1083783112973320192 
2019-01-11 22:11:30 	retweet 	RT @WhiteHouse: This afternoon President Trump hosted a roundtable discussion with State local and community leaders who spoke on how t…	1083848903072645120 
2019-01-11 22:11:34 	retweet 	RT @WhiteHouse: This is common sense. Congress must pass a bill that ends the crisis at our border. https://t.co/wD0PPKfpNM	1083848923297579009 
2019-01-11 23:00:23 	tweet   	I look forward to hosting right out of the great State of South Carolina the 2019 NCAA Football Champion Clemson Tigers at the White House on Monday January 14th. What a game what a coach what a team!	1083861205549232128 
2019-01-11 23:21:41 	tweet   	Drug prices declined in 2018 the first time in nearly half a century. During the first 19 months of my Administration Americans saved $26 Billion on prescription drugs. Our policies to get cheaper generic drugs to market are working!	1083866566314389504 
2019-01-11 23:29:48 	tweet   	.@CNN called a San Diego news station (@KUSINews) for negative reports on the Wall. When the station said that Walls work CNN no longer had interest. #FakeNews https://t.co/IDyXqmDsPq	1083868608919420930 
2019-01-12 12:05:36 	tweet   	Wow just learned in the Failing New York Times that the corrupt former leaders of the FBI almost all fired or forced to leave the agency for some very bad reasons opened up an investigation on me for no reason &amp; with no proof after I fired Lyin’ James Comey a total sleaze!	1084058813047681025 
2019-01-12 12:18:35 	tweet   	...Funny thing about James Comey. Everybody wanted him fired Republican and Democrat alike. After the rigged &amp; botched Crooked Hillary investigation where she was interviewed on July 4th Weekend not recorded or sworn in and where she said she didn’t know anything (a lie)....	1084062079907229697 
2019-01-12 12:33:30 	tweet   	....the FBI was in complete turmoil (see N.Y. Post) because of Comey’s poor leadership and the way he handled the Clinton mess (not to mention his usurpation of powers from the Justice Department). My firing of James Comey was a great day for America. He was a Crooked Cop......	1084065832941031424 
2019-01-12 12:53:25 	tweet   	.....who is being totally protected by his best friend Bob Mueller &amp; the 13 Angry Democrats - leaking machines who have NO interest in going after the Real Collusion (and much more) by Crooked Hillary Clinton her Campaign and the Democratic National Committee. Just Watch!	1084070845826371586 
2019-01-12 13:09:23 	tweet   	I have been FAR tougher on Russia than Obama Bush or Clinton. Maybe tougher than any other President. At the same time &amp; as I have often said getting along with Russia is a good thing not a bad thing. I fully expect that someday we will have good relations with Russia again!	1084074865496334336 
2019-01-12 14:20:33 	tweet   	Lyin’ James Comey Andrew McCabe Peter S and his lover agent Lisa Page &amp; more all disgraced and/or fired and caught in the act. These are just some of the losers that tried to do a number on your President. Part of the Witch Hunt. Remember the “insurance policy?” This is it!	1084092774633353217 
2019-01-12 14:28:14 	tweet   	Democrats should come back to Washington and work to end the Shutdown while at the same time ending the horrible humanitarian crisis at our Southern Border. I am in the White House waiting for you!	1084094708144619525 
2019-01-12 14:42:21 	tweet   	23% of Federal inmates are illegal immigrants. Border arrests are up 240%. In the Great State of Texas between 2011 &amp; 2018 there were a total of 292000 crimes by illegal aliens 539 murders 32000 assaults 3426 sexual assaults and 3000 weapons charges. Democrats come back!	1084098258534891521 
2019-01-12 14:47:04 	tweet   	Democrats could solve the Shutdown in 15 minutes! Call your Dem Senator or Congresswoman/man. Tell them to get it done! Humanitarian Crisis.	1084099445556502528 
2019-01-12 15:57:23 	tweet   	I just watched a Fake reporter from the Amazon Washington Post say the White House is “chaotic there does not seem to be a strategy for this Shutdown. There is no plan.” The Fakes always like talking Chaos there is NONE. In fact there’s almost nobody in the W.H. but me and...	1084117143988461571 
2019-01-12 16:07:22 	tweet   	....I do have a plan on the Shutdown. But to understand that plan you would have to understand the fact that I won the election and I promised safety and security for the American people. Part of that promise was a Wall at the Southern Border. Elections have consequences!	1084119654841364480 
2019-01-12 16:14:55 	tweet   	We have a massive Humanitarian Crisis at our Southern Border. We will be out for a long time unless the Democrats come back from their “vacations” and get back to work. I am in the White House ready to sign!	1084121557193146368 
2019-01-12 18:20:13 	tweet   	https://t.co/3IH1yW2eTg                                                                                                 	1084153087785349125 
2019-01-13 01:37:11 	tweet   	I will be interviewed by Jeanine Pirro at 9:00 P.M. on @FoxNews. Watch @JesseBWatters before and @greggutfeld after. All terrific people. I am in the White House waiting for Cryin’ Chuck and Nancy to call so we can start helping our Country both at the Border and from within!	1084263052617412609 
2019-01-13 14:58:26 	tweet   	Democrats are saying that DACA is not worth it and don’t want to include in talks. Many Hispanics will be coming over to the Republican side watch!	1084464695904530432 
2019-01-13 15:00:53 	tweet   	The building of the Wall on the Southern Border will bring down the crime rate throughout the entire Country!           	1084465310848163840 
2019-01-13 15:05:37 	tweet   	I’m in the White House waiting. The Democrats are everywhere but Washington as people await their pay. They are having fun and not even talking!	1084466503574016006 
2019-01-13 15:36:04 	tweet   	The damage done to our Country from a badly broken Border - Drugs Crime and so much that is bad - is far greater than a Shutdown which the Dems can easily fix as soon as they come back to Washington!	1084474165976018944 
2019-01-13 15:45:45 	tweet   	Thousands of illegal aliens who have committed sexual crimes against children are right now in Texas prisons. Most came through our Southern Border. We can end this easily - We need a Steel Barrier or Wall. Walls Work! John Jones Texas Department of Public Safety.  @FoxNews	1084476603269373953 
2019-01-13 22:01:21 	tweet   	Wish I could share with everyone the beauty and majesty of being in the White House and looking outside at the snow filled lawns and Rose Garden. Really is something - SPECIAL COUNTRY SPECIAL PLACE!	1084571124556619776 
2019-01-13 22:53:32 	tweet   	Starting the long overdue pullout from Syria while hitting the little remaining ISIS territorial caliphate hard and from many directions. Will attack again from existing nearby base if it reforms. Will devastate Turkey economically if they hit Kurds. Create 20 mile safe zone....	1084584259510304768 
2019-01-13 23:02:56 	tweet   	....Likewise do not want the Kurds to provoke Turkey. Russia Iran and Syria have been the biggest beneficiaries of the long term U.S. policy of destroying ISIS in Syria - natural enemies. We also benefit but it is now time to bring our troops back home. Stop the ENDLESS WARS!	1084586625672376322 
2019-01-14 01:45:10 	tweet   	So sorry to hear the news about Jeff Bozo being taken down by a competitor whose reporting I understand is far more accurate than the reporting in his lobbyist newspaper the Amazon Washington Post. Hopefully the paper will soon be placed in better &amp; more responsible hands!	1084627451983073280 
2019-01-14 02:08:08 	tweet   	If Elizabeth Warren often referred to by me as Pocahontas did this commercial from Bighorn or Wounded Knee instead of her kitchen with her husband dressed in full Indian garb it would have been a smash! https://t.co/paf1CvesBa	1084633230467309569 
2019-01-14 02:52:59 	tweet   	If Elizabeth Warren often referred to by me as Pocahontas did this commercial from Bighorn or Wounded Knee instead of her kitchen with her husband dressed in full Indian garb it would have been a smash! https://t.co/D5KWr8EPan	1084644517238714369 
2019-01-14 03:03:03 	tweet   	Best line in the Elizabeth Warren beer catastrophe is to her husband “Thank you for being here. I’m glad you’re here” It’s their house he’s supposed to be there!	1084647050208333825 
2019-01-14 03:12:34 	tweet   	The Trump portrait of an unsustainable Border Crisis is dead on. “In the last two years ICE officers made 266000 arrests of aliens with Criminal Records including those charged or convicted of 100000 assaults 30000 sex crimes &amp; 4000 violent killings.” America’s Southern....	1084649448003784704 
2019-01-14 03:18:31 	tweet   	....Border is eventually going to be militarized and defended or the United States as we have known it is going to cease to exist...And Americans will not go gentle into that good night. Patrick Buchanan.  The great people of our Country demand proper Border Security NOW!	1084650944846012417 
2019-01-14 12:14:25 	tweet   	“Gas prices drop across the United States because President Trump has deregulated Energy and we are now  producing a great deal more oil than ever before.” @foxandfriends  But this is bad news for Russia why would President Trump do such a thing? Thought he worked for Kremlin?	1084785809000185862 
